_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,this_document_is,orig__golden,current_document,description,id,iteration,query,query_id,this_document_is_gold,this_document_is_gold_reason,username
2108274733,1/20/2019 16:54:26,false,4445611781,,1/20/2019 16:53:48,false,elite,0.875,43825820,GBR,N1,Cannock,79.66.67.246,valid,,"
You can purchase dog waste bags online. Are there any low cost options? There are plenty of low cost alternatives to dog waste bags. We offer various options in pet waste bags and dog poop scoop to speed up cleaning and make more time for the things you do love - like puppy cuddles and belly scratching. I have seen bins with a picture of a dog on them. What does this mean? dog The council is installing new bins which allow for both refuse and dog waste. So when you see this dog on a bin, it means you can put your doggy bag in it. The new multi-use bins will be dotted around Ashford and the town centre, making it easier for dog owners to clean up after their pets and help keep the borough looking clean.
",Can I order dog clean-up bags online?,,2019-01-20-00-01-27-433243,dog clean up bags,193_0,,,dummy_doc_193_3
2108274733,1/20/2019 16:56:08,false,4445615102,,1/20/2019 16:55:11,false,elite,1.0,44321205,USA,NY,Rochester,216.126.193.3,valid,,"
You can purchase dog waste bags online. Are there any low cost options? There are plenty of low cost alternatives to dog waste bags. We offer various options in pet waste bags and dog poop scoop to speed up cleaning and make more time for the things you do love - like puppy cuddles and belly scratching. I have seen bins with a picture of a dog on them. What does this mean? dog The council is installing new bins which allow for both refuse and dog waste. So when you see this dog on a bin, it means you can put your doggy bag in it. The new multi-use bins will be dotted around Ashford and the town centre, making it easier for dog owners to clean up after their pets and help keep the borough looking clean.
",Can I order dog clean-up bags online?,,2019-01-20-00-01-27-433243,dog clean up bags,193_0,,,dummy_doc_193_3
2108274733,1/20/2019 17:03:36,false,4445629283,,1/20/2019 17:02:37,false,elite,0.875,45026820,USA,NM,Albuquerque,207.188.179.76,keywordstuffed,,"
You can purchase dog waste bags online. Are there any low cost options? There are plenty of low cost alternatives to dog waste bags. We offer various options in pet waste bags and dog poop scoop to speed up cleaning and make more time for the things you do love - like puppy cuddles and belly scratching. I have seen bins with a picture of a dog on them. What does this mean? dog The council is installing new bins which allow for both refuse and dog waste. So when you see this dog on a bin, it means you can put your doggy bag in it. The new multi-use bins will be dotted around Ashford and the town centre, making it easier for dog owners to clean up after their pets and help keep the borough looking clean.
",Can I order dog clean-up bags online?,,2019-01-20-00-01-27-433243,dog clean up bags,193_0,,,dummy_doc_193_3
2108274733,1/20/2019 17:06:12,false,4445633931,,1/20/2019 17:05:09,false,clixsense,1.0,35849301,USA,NY,New York,142.255.55.251,valid,,"
You can purchase dog waste bags online. Are there any low cost options? There are plenty of low cost alternatives to dog waste bags. We offer various options in pet waste bags and dog poop scoop to speed up cleaning and make more time for the things you do love - like puppy cuddles and belly scratching. I have seen bins with a picture of a dog on them. What does this mean? dog The council is installing new bins which allow for both refuse and dog waste. So when you see this dog on a bin, it means you can put your doggy bag in it. The new multi-use bins will be dotted around Ashford and the town centre, making it easier for dog owners to clean up after their pets and help keep the borough looking clean.
",Can I order dog clean-up bags online?,,2019-01-20-00-01-27-433243,dog clean up bags,193_0,,,dummy_doc_193_3
2108274733,1/20/2019 17:07:29,false,4445636441,,1/20/2019 17:05:45,false,elite,1.0,44321263,USA,NY,Rochester,216.126.193.3,valid,,"
You can purchase dog waste bags online. Are there any low cost options? There are plenty of low cost alternatives to dog waste bags. We offer various options in pet waste bags and dog poop scoop to speed up cleaning and make more time for the things you do love - like puppy cuddles and belly scratching. I have seen bins with a picture of a dog on them. What does this mean? dog The council is installing new bins which allow for both refuse and dog waste. So when you see this dog on a bin, it means you can put your doggy bag in it. The new multi-use bins will be dotted around Ashford and the town centre, making it easier for dog owners to clean up after their pets and help keep the borough looking clean.
",Can I order dog clean-up bags online?,,2019-01-20-00-01-27-433243,dog clean up bags,193_0,,,dummy_doc_193_3
2108274734,1/20/2019 17:08:48,false,4445638730,,1/20/2019 17:07:38,false,instagc,0.875,39147083,USA,NJ,Maple Shade,76.116.165.52,keywordstuffed,,"
Therefore, MapQuest and Google Maps have the tools to navigate every place on the world map. Therefore, MapQuest and Google Maps have the tools to navigate every place on the world map.
",I'm looking for online mapping sites.,,2019-01-20-00-01-27-433243,map,013_0,,,dummy_doc_013_2
2108274734,1/20/2019 17:09:58,false,4445640704,,1/20/2019 17:08:30,false,elite,1.0,44321263,USA,NY,Rochester,216.126.193.3,useless,,"
Therefore, MapQuest and Google Maps have the tools to navigate every place on the world map. Therefore, MapQuest and Google Maps have the tools to navigate every place on the world map.
",I'm looking for online mapping sites.,,2019-01-20-00-01-27-433243,map,013_0,,,dummy_doc_013_2
2108274734,1/20/2019 17:14:07,false,4445647869,,1/20/2019 17:12:46,false,elite,1.0,44260973,USA,CA,Los Angeles,96.44.135.125,valid,,"
Therefore, MapQuest and Google Maps have the tools to navigate every place on the world map. Therefore, MapQuest and Google Maps have the tools to navigate every place on the world map.
",I'm looking for online mapping sites.,,2019-01-20-00-01-27-433243,map,013_0,,,dummy_doc_013_2
2108274734,1/20/2019 17:16:09,false,4445651621,,1/20/2019 17:14:57,false,elite,1.0,44321377,USA,NY,Rochester,216.126.193.3,useless,,"
Therefore, MapQuest and Google Maps have the tools to navigate every place on the world map. Therefore, MapQuest and Google Maps have the tools to navigate every place on the world map.
",I'm looking for online mapping sites.,,2019-01-20-00-01-27-433243,map,013_0,,,dummy_doc_013_2
2108274734,1/20/2019 17:17:55,false,4445655039,,1/20/2019 17:12:09,false,elite,1.0,44943183,USA,FL,Miami,173.44.36.179,keywordstuffed,,"
Therefore, MapQuest and Google Maps have the tools to navigate every place on the world map. Therefore, MapQuest and Google Maps have the tools to navigate every place on the world map.
",I'm looking for online mapping sites.,,2019-01-20-00-01-27-433243,map,013_0,,,dummy_doc_013_2
